Lock Address,Count
583ffeca98f8,2
300a598eb188,2
782484fb3110,2
300a5f505518,2
300a5f5052b8,2
300a776872b8,2
740d9b8,2
75fb23535478,2
300a5cf92b98,2
c000641148,2
300a57c2e0e8,2
300a438725a8,2
300a777e1058,2
588af61e2a70,2
7eded28,2
65ec910,2
5920303f40b8,2
300a5cf933e8,2
718ecb8,2
79e6e8000030,2
300a5cf93d68,2
300a5fe4cf28,2
300a9deb0478,2
300a49ae80e8,2
7f73748,2
300a49ae92b8,2
300a598eacc8,2
300a49090df8,2
5e1e998,2
300a9deb19d8,2
300a49091d68,2
7ffce2bb72e0,2
73182f0,2
300a7f620aa8,2
75413d15c8f8,2
7fffc163f0a0,2
300a4a128df8,2
6e361c8,2
5b92ba9097f8,2
300a598ea938,2
583ffebce168,2
300a776ab8a8,2
300a7fafb0b8,2
6096220,2
300a4a128478,2
6ea6d68,2
300a776ed518,2
300a4932a478,2
6140098,2
300a5fe4c5a8,2
300a57c2f2b8,2
61deba8,2
583fffc85598,2
79375d786904,2
19ddaf4,2
300a43872808,2
7fff99cfb280,2
300a490912b8,2
6717e98,2
6eb42d8,2
5e25638,2
61c1e58,2
300a77687188,2
300a7f8ee208,2
74f9b6935478,2
5b92308,2
300a49ae9d68,2
5f8f26fb96d8,2
300a57c2e478,2
c000100548,2
6b94a28,2
300a598ea6d8,2
300a5cf93058,2
300a5fe4cdf8,2
c0006c1548,2
300a43873d68,2
300a776ab058,2
300a777e18a8,2
751fda8,2
743cf0735478,2
7fff99cfba60,2
57a10f8,2
300a5fe4c808,2
74eab40061f8,2
300a57c2e218,2
300a5cf93518,2
300a7f620a58,2
670baa0,2
595f7409f1a8,2
7ffe2bb23ee0,2
6b627d8,2
a461f8,2
300a9deb1b08,2
300abeb739d8,2
5d96309aa7f8,2
300abeb72cc8,2
7ffc76746f70,2
300a5cf920e8,2
c000641948,2
7ffc76745dd0,2
79375d47d904,2
697d708,2
75f2844a88f8,2
7ffcff68c880,2
5acac18,2
79375dd98904,2
300abbcef518,2
300abeb72808,2
300a72ac7e98,2
300a5fe4d188,2
7d02db8,2
300a49090f28,2
75f27e06a3c8,2
300a7f9db058,2
300a490900e8,2
5b983c0be9c0,2
778b868,2
7ed7eb3ff8f8,2
c000098948,2
300a49ae8a68,1
300a598eaa68,1
730a03a13128,1
300a777e1648,1
75fb221fbb60,1
300a9deb1778,1
300abbceea68,1
588af61e2a48,1
300a57c2ef28,1
79375df9e354,1
300a57c2e938,1
300a490905a8,1
300abbcee938,1
7ffce2bb5980,1
5ae7c1b13560,1
300a776ab2b8,1
300a776ec5a8,1
300a9deb0808,1
66c6980,1
300a77650218,1
300a5f505778,1
588af61fa040,1
300a77651b08,1
66b0ad8,1
7063238,1
5f8f26fd0da0,1
300a72ac6808,1
300a57c2e348,1
7ed7eabf38f8,1
6df82c0,1
300a777e1e98,1
300a4a129778,1
300a9deb0348,1
6ff0ec8,1
300a77686938,1
7478f28,1
300a72ac66d8,1
300a5cf92f28,1
300a598eb3e8,1
300a5f504cc8,1
300a5f5053e8,1
7fffc163b210,1
60e2568,1
7ffeebf6fa70,1
300a7f8c85a8,1
6e78f98,1
300a57c2f8a8,1
6918538,1
7541431cf8f8,1
79375df9e394,1
7d80c68,1
300a77650938,1
7ed7e52e98f8,1
7ffd7d8f10c0,1
75413d3628f8,1
6c24598,1
6fac3b8,1
7ffeebf703f0,1
300a7f99ea68,1
761f7d8a9c24,1
